canary_a_table_barrier	incremental	PASS	-
canary_a_table_barrier	generational	PASS	-
canary_b_coro_upvalue	incremental	PASS	-
canary_b_coro_upvalue	generational	PASS	-
canary_c_finalizer_gen	incremental	PASS	-
canary_c_finalizer_gen	generational	PASS	-
canary_d_weak_gen	incremental	PASS	-
canary_d_weak_gen	generational	PASS	-
canary_e_mode_switch	incremental	PASS	-
canary_e_mode_switch	generational	PASS	-
canary_f_testc_gengc_age	incremental	PASS	-
canary_f_testc_gengc_age	generational	PASS	-
canary_g_testc_gcstate	incremental	PASS	-
canary_g_testc_gcstate	generational	PASS	-
canary_h_testc_warn_store	incremental	PASS	-
canary_h_testc_warn_store	generational	PASS	-
canary_i_testc_weak_finalizer_values	incremental	PASS	-
canary_i_testc_weak_finalizer_values	generational	PASS	-
canary_j_testc_sweep_uservalue_barrier	incremental	PASS	-
canary_j_testc_sweep_uservalue_barrier	generational	PASS	-
canary_k_testc_accounting	incremental	PASS	-
canary_k_testc_accounting	generational	PASS	-
canary_l_testc_minor_stats	incremental	PASS	METRIC minorstats mode=generational state=pause bytes=41060 debt=-8200 threshold=49260 allgc=254 collections=4 weak=0 weaklive=0 weakdead=0 weakretained=0 pendingfin=4 tobefin=0 pendingfinyoung=0 pendingfinold=4 tobefinyoung=0 tobefinold=0
canary_l_testc_minor_stats	generational	PASS	METRIC minorstats mode=generational state=pause bytes=41060 debt=-8200 threshold=49260 allgc=254 collections=4 weak=0 weaklive=0 weakdead=0 weakretained=0 pendingfin=4 tobefin=0 pendingfinyoung=0 pendingfinold=4 tobefinyoung=0 tobefinold=0
canary_m_testc_finalizer_cohorts	incremental	PASS	METRIC finalizercohorts mode=generational state=pause bytes=43309 debt=-8660 threshold=51969 allgc=265 collections=4 weak=0 weaklive=0 weakdead=0 weakretained=0 pendingfin=5 tobefin=1 pendingfinyoung=0 pendingfinold=5 tobefinyoung=1 tobefin
canary_m_testc_finalizer_cohorts	generational	PASS	METRIC finalizercohorts mode=generational state=pause bytes=43309 debt=-8660 threshold=51969 allgc=265 collections=4 weak=0 weaklive=0 weakdead=0 weakretained=0 pendingfin=5 tobefin=1 pendingfinyoung=0 pendingfinold=5 tobefinyoung=1 tobefin
canary_n_testc_weak_registry	incremental	PASS	METRIC weakregistry mode=generational state=pause bytes=41542 debt=-8300 threshold=49842 allgc=258 collections=3 weak=3 weaklive=3 weakdead=0 weakretained=3 pendingfin=4 tobefin=0 pendingfinyoung=0 pendingfinold=4 tobefinyoung=0 tobefinold=
canary_n_testc_weak_registry	generational	PASS	METRIC weakregistry mode=generational state=pause bytes=41542 debt=-8300 threshold=49842 allgc=258 collections=3 weak=3 weaklive=3 weakdead=0 weakretained=3 pendingfin=4 tobefin=0 pendingfinyoung=0 pendingfinold=4 tobefinyoung=0 tobefinold=
